,repository_name,languages
0,.github,.github
1,ads-advanced-tools-docs,ads-advanced-tools-docs
2,ads-pao-amznjs-gtm-template,ads-pao-amznjs-gtm-template
3,alexa-coho,alexa-coho
4,alexa-skills-kit-js,alexa-skills-kit-js
5,amazon-ads-advertiser-audience-normalization-sdk-py,amazon-ads-advertiser-audience-normalization-sdk-py
6,amazon-advertising-api-php-sdk,amazon-advertising-api-php-sdk
7,amazon-codeguru-profiler-for-spark,amazon-codeguru-profiler-for-spark
8,amazon-frustration-free-setup-certification-tool,amazon-frustration-free-setup-certification-tool
9,amazon-hub-counter-api-docs,amazon-hub-counter-api-docs
10,amazon-hub-counter-api-samples,amazon-hub-counter-api-samples
11,amazon-hub-counter-sdk-java,amazon-hub-counter-sdk-java
12,amazon-hub-support,amazon-hub-support
13,amazon-instant-access-sdk-java,amazon-instant-access-sdk-java
14,amazon-instant-access-sdk-net,amazon-instant-access-sdk-net
15,amazon-instant-access-sdk-php,amazon-instant-access-sdk-php
16,amazon-instant-access-sdk-ruby,amazon-instant-access-sdk-ruby
17,amazon-launcher-integration-cordova-plugin,amazon-launcher-integration-cordova-plugin
18,amazon-marketing-stream-examples,amazon-marketing-stream-examples
19,amazon-mcf-plugin-for-magento-1,amazon-mcf-plugin-for-magento-1
20,amazon-multi-token-completion,amazon-multi-token-completion
21,amazon-nearest-neighbor-through-ecc,amazon-nearest-neighbor-through-ecc
22,amazon-pay-api-sdk-dotnet,amazon-pay-api-sdk-dotnet
23,amazon-pay-api-sdk-java,amazon-pay-api-sdk-java
24,amazon-pay-api-sdk-nodejs,amazon-pay-api-sdk-nodejs
25,amazon-pay-api-sdk-php,amazon-pay-api-sdk-php
26,amazon-pay-sdk-csharp,amazon-pay-sdk-csharp
27,amazon-pay-sdk-java,amazon-pay-sdk-java
28,amazon-pay-sdk-php,amazon-pay-sdk-php
29,amazon-pay-sdk-python,amazon-pay-sdk-python
30,amazon-pay-sdk-ruby,amazon-pay-sdk-ruby
31,amazon-pay-sdk-samples,amazon-pay-sdk-samples
32,amazon-payment-files-tools,amazon-payment-files-tools
33,amazon-payments-magento-2-plugin,amazon-payments-magento-2-plugin
34,amazon-ray,amazon-ray
35,amazon-s3-gst-plugin,amazon-s3-gst-plugin
36,amazon-sidewalk-android-samples,amazon-sidewalk-android-samples
37,amazon-sidewalk-ios-samples,amazon-sidewalk-ios-samples
38,amazon-succinct-doc-representation,amazon-succinct-doc-representation
39,amazon-template-library,amazon-template-library
40,amazon-weak-ner-needle,amazon-weak-ner-needle
41,amigitenough,amigitenough
42,amzn-drivers,amzn-drivers
43,amzn-ec2-ena-utilities,amzn-ec2-ena-utilities
44,auction-gym,auction-gym
45,autotrail,autotrail
46,aws-apigateway-client-lib,aws-apigateway-client-lib
47,aws-sigv4-signing-samples,aws-sigv4-signing-samples
48,awsssmchaosrunner,awsssmchaosrunner
49,basis-point-sets,basis-point-sets
50,buy-with-prime-automate-tenant-validation,buy-with-prime-automate-tenant-validation
51,buy-with-prime-oauth-handler-ec2,buy-with-prime-oauth-handler-ec2
52,buy-with-prime-saas-integration,buy-with-prime-saas-integration
53,chalet-charging-location-for-electric-trucks,chalet-charging-location-for-electric-trucks
54,computer-vision-basics-in-microsoft-excel,computer-vision-basics-in-microsoft-excel
55,confident-sinkhorn-allocation,confident-sinkhorn-allocation
56,convolutional-handwriting-gan,convolutional-handwriting-gan
57,cosearcher,cosearcher
58,credence-to-causal-estimation,credence-to-causal-estimation
59,data-jack-knife,data-jack-knife
60,debiased-balanced-interleaving,debiased-balanced-interleaving
61,differential-privacy-bayesian-optimization,differential-privacy-bayesian-optimization
62,distance-assistant,distance-assistant
63,drs-sample-android-app,drs-sample-android-app
64,drs-sample-ios-app,drs-sample-ios-app
65,emukit-playground,emukit-playground
66,eslint-plugin-no-date-parsing,eslint-plugin-no-date-parsing
67,exoplayer-amazon-port,exoplayer-amazon-port
68,explainable-text-vqa,explainable-text-vqa
69,faithful-data2text-cycle-training,faithful-data2text-cycle-training
70,fashion-attribute-disentanglement,fashion-attribute-disentanglement
71,fire-app-builder,fire-app-builder
72,firetv-sample-touch-app,firetv-sample-touch-app
73,ftv-livetv-sample-tv-app,ftv-livetv-sample-tv-app
74,gameon-sample-game-unity,gameon-sample-game-unity
75,gameon-starter-kit-unity,gameon-starter-kit-unity
76,git-commit-template,git-commit-template
77,glad,glad
78,golang-gitoperations,golang-gitoperations
79,halo-third-party-sdk-for-java,halo-third-party-sdk-for-java
80,halo-third-party-sdk-for-node-js,halo-third-party-sdk-for-node-js
81,halo-third-party-sdk-for-python,halo-third-party-sdk-for-python
82,hawktracer,hawktracer
83,image-misspell-coling2020,image-misspell-coling2020
84,image-to-recipe-transformers,image-to-recipe-transformers
85,ion-object-mapper-dotnet,ion-object-mapper-dotnet
86,jekyll-doc-project,jekyll-doc-project
87,kqr,kqr
88,login-with-amazon-oscommerce,login-with-amazon-oscommerce
89,login-with-amazon-wordpress,login-with-amazon-wordpress
90,merlin-on-demand-callgraph,merlin-on-demand-callgraph
91,metalearn-leap,metalearn-leap
92,milan,milan
93,multiconer-baseline,multiconer-baseline
94,multilingual-keyphrase-generation,multilingual-keyphrase-generation
95,multimodal-affinities,multimodal-affinities
96,MXFusion,MXFusion
97,nimbus-jose-jwt_aws-kms-extension,nimbus-jose-jwt_aws-kms-extension
98,node-jose-aws-kms-extension,node-jose-aws-kms-extension
99,openapi-swift-code-generate,openapi-swift-code-generate
100,orthogonal-additive-gaussian-processes,orthogonal-additive-gaussian-processes
101,oss-attribution-builder,oss-attribution-builder
102,oss-contribution-tracker,oss-contribution-tracker
103,oss-dashboard,oss-dashboard
104,pecos,pecos
105,pretraining-or-self-training,pretraining-or-self-training
106,python-jose_aws-kms-extension,python-jose_aws-kms-extension
107,rdma-core,rdma-core
108,refuel-open-domain-qa,refuel-open-domain-qa
109,rete-thewebconf-2022,rete-thewebconf-2022
110,rheoceros,rheoceros
111,robotiq-gripper-interface,robotiq-gripper-interface
112,sample-fire-tv-app-video-skill,sample-fire-tv-app-video-skill
113,selling-partner-api-docs,selling-partner-api-docs
114,selling-partner-api-models,selling-partner-api-models
115,selling-partner-api-samples,selling-partner-api-samples
116,seqzero,seqzero
117,service-model-swift-code-generate,service-model-swift-code-generate
118,sketch-constructor,sketch-constructor
119,smoke-aws,smoke-aws
120,smoke-aws-credentials,smoke-aws-credentials
121,smoke-aws-generate,smoke-aws-generate
122,smoke-aws-support,smoke-aws-support
123,smoke-dynamodb,smoke-dynamodb
124,smoke-framework,smoke-framework
125,smoke-framework-application-generate,smoke-framework-application-generate
126,smoke-framework-examples,smoke-framework-examples
127,smoke-http,smoke-http
128,sparse-vqvae,sparse-vqvae
129,ss-aga-kgc,ss-aga-kgc
130,sto-transformer,sto-transformer
131,style-dictionary,style-dictionary
132,supply-chain-simulation-environment,supply-chain-simulation-environment
133,tiny-attribution-generator,tiny-attribution-generator
134,trans-encoder,trans-encoder
135,user-satisfaction-modeling,user-satisfaction-modeling
136,workspace-resolver,workspace-resolver
137,xfer,xfer
138,zeek-plugin-bacnet,zeek-plugin-bacnet
139,zeek-plugin-enip,zeek-plugin-enip
140,zeek-plugin-profinet,zeek-plugin-profinet
141,zeek-plugin-s7comm,zeek-plugin-s7comm
142,zeek-plugin-tds,zeek-plugin-tds
143,zero-shot-rlhr,zero-shot-rlhr
