,repository_name,languages
0,.github,.github
1,aioshumway,aioshumway
2,android-auth,android-auth
3,android-sdk,android-sdk
4,android-store-service,android-store-service
5,annoy,annoy
6,annoy-java,annoy-java
7,apollo,apollo
8,apollo-elide,apollo-elide
9,apollo-metrics,apollo-metrics
10,apps-tutorial,apps-tutorial
11,async-datastore-client,async-datastore-client
12,async-google-pubsub-client,async-google-pubsub-client
13,backup-utils,backup-utils
14,basic-pitch,basic-pitch
15,basic-pitch-ts,basic-pitch-ts
16,batty,batty
17,bazel-tools,bazel-tools
18,beam,beam
19,big-data-rosetta-code,big-data-rosetta-code
20,bigtable-autoscaler,bigtable-autoscaler
21,boilerplate-app,boilerplate-app
22,bucket-runner,bucket-runner
23,cartography,cartography
24,cassandra-extra,cassandra-extra
25,cassandra-medusa,cassandra-medusa
26,cassandra-opstools,cassandra-opstools
27,cassandra-reaper,cassandra-reaper
28,certcheck,certcheck
29,chartify,chartify
30,code-of-conduct,code-of-conduct
31,collectd,collectd
32,comet,comet
33,comet-common,comet-common
34,comet-core,comet-core
35,completable-futures,completable-futures
36,condor,condor
37,confidence,confidence
38,confidence-openfeature-provider-go,confidence-openfeature-provider-go
39,confidence-openfeature-provider-js,confidence-openfeature-provider-js
40,confidence-openfeature-provider-kotlin,confidence-openfeature-provider-kotlin
41,confidence-openfeature-provider-python,confidence-openfeature-provider-python
42,confidence-openfeature-provider-swift,confidence-openfeature-provider-swift
43,container-agent,container-agent
44,cookiecutter-golang,cookiecutter-golang
45,coordinator,coordinator
46,crtauth,crtauth
47,crtauth-java,crtauth-java
48,crtauth-java-agent-signer-apache,crtauth-java-agent-signer-apache
49,crunch-lib,crunch-lib
50,cstar,cstar
51,daemon-java,daemon-java
52,dataenum,dataenum
53,DataflowJavaSDK,DataflowJavaSDK
54,dataproc-java-submitter,dataproc-java-submitter
55,dataprocxy,dataprocxy
56,dbeam,dbeam
57,debify,debify
58,dh-virtualenv,dh-virtualenv
59,diffuser,diffuser
60,dns-java,dns-java
61,docgenerator,docgenerator
62,docker-alpine,docker-alpine
63,docker-bigtable,docker-bigtable
64,docker-cassandra,docker-cassandra
65,docker-client,docker-client
66,docker-gc,docker-gc
67,docker-kafka,docker-kafka
68,docker-maven-plugin,docker-maven-plugin
69,docker-stress,docker-stress
70,dockerfile-maven,dockerfile-maven
71,dockerfile-mode,dockerfile-mode
72,docker_interface,docker_interface
73,drserv,drserv
74,druid,druid
75,duck,duck
76,echoprint-codegen,echoprint-codegen
77,echoprint-server,echoprint-server
78,elasticsearch-index-window,elasticsearch-index-window
79,elitzur,elitzur
80,eslint-config-oss,eslint-config-oss
81,etcd,etcd
82,featran,featran
83,ffwd,ffwd
84,ffwd-client-java,ffwd-client-java
85,ffwd-http-client,ffwd-http-client
86,ffwd-ruby,ffwd-ruby
87,flink,flink
88,flink-docker,flink-docker
89,flink-on-k8s-operator,flink-on-k8s-operator
90,flo,flo
91,flume-syslog-source2,flume-syslog-source2
92,flyte-flink-plugin,flyte-flink-plugin
93,fmt-maven-plugin,fmt-maven-plugin
94,folsom,folsom
95,foss-root,foss-root
96,futures-extra,futures-extra
97,futuristic-feline,futuristic-feline
98,gcp-audit,gcp-audit
99,gcp-firewall-enforcer,gcp-firewall-enforcer
100,gcs-tools,gcs-tools
101,ghelog,ghelog
102,gimme,gimme
103,git-test,git-test
104,github-java-client,github-java-client
105,google-http-java-client,google-http-java-client
106,gordon,gordon
107,gordon-gcp,gordon-gcp
108,gordon-introspection,gordon-introspection
109,gordon-janitor,gordon-janitor
110,gordon-janitor-gcp,gordon-janitor-gcp
111,griffin,griffin
112,hadoop-openpgp-codec,hadoop-openpgp-codec
113,hdfs2cass,hdfs2cass
114,helios,helios
115,helios-go,helios-go
116,helios-skydns,helios-skydns
117,heroic,heroic
118,heroic-client-go,heroic-client-go
119,heroic-client-java,heroic-client-java
120,homebrew-public,homebrew-public
121,hornet,hornet
122,HubFramework,HubFramework
123,hush-tab,hush-tab
124,hype,hype
125,hyperflo,hyperflo
126,ieee-spm-vocals-tutorial,ieee-spm-vocals-tutorial
127,ios-auth,ios-auth
128,ios-ci,ios-ci
129,ios-sdk,ios-sdk
130,ios-style,ios-style
131,java-hamcrest,java-hamcrest
132,java-lkk,java-lkk
133,jenkins-coverage-poster,jenkins-coverage-poster
134,jira-lkk-bridge,jira-lkk-bridge
135,JniHelpers,JniHelpers
136,jsconfeu-2013,jsconfeu-2013
137,kafka,kafka
138,kairosdb,kairosdb
139,kernel-common,kernel-common
140,klio,klio
141,lemur,lemur
142,lighthouse-audit-service,lighthouse-audit-service
143,limbo,limbo
144,lingon,lingon
145,linux,linux
146,logging-java,logging-java
147,luigi,luigi
148,lyceum,lyceum
149,mace,mace
150,magnolify,magnolify
151,metrics-munin-reporter,metrics-munin-reporter
152,missinglink,missinglink
153,mlockexec,mlockexec
154,mobius,mobius
155,mobius-android-sample,mobius-android-sample
156,Mobius.swift,Mobius.swift
157,moob,moob
158,netty-batch-flusher,netty-batch-flusher
159,netty-zmtp,netty-zmtp
160,noether,noether
161,okta-sdk-python,okta-sdk-python
162,openfeature-kotlin-sdk,openfeature-kotlin-sdk
163,openfeature-swift-sdk,openfeature-swift-sdk
164,pedalboard,pedalboard
165,PeqBank,PeqBank
166,perf-map-agent,perf-map-agent
167,phpconf-argentina-2014,phpconf-argentina-2014
168,platform-external-bluetooth-bluez,platform-external-bluetooth-bluez
